match_id,home,away,home_id,home_total_shots,home_shots_on_goal,home_shots_insidebox,away_id,away_total_shots,away_shots_on_goal,away_shots_insidebox,home_scored_penalties,away_scored_penalties,home_total_penalties,away_total_penalties,home_shots_outsidebox,away_shots_outsidebox,home_xGol,away_xGol,home_xPoints,away_xPoints,home_Points,away_Points
867946,0,2,52,10,2,9,42,10,2,8,0,0,0,0,1,2,0.98423,0.92466,1.4009999999999998,1.2865,0,3
867947,2,2,36,9,3,7,40,11,4,9,1,0,1,0,2,2,1.6358139999999999,1.02904,1.8185,0.9835,1,1
867948,2,0,35,7,3,6,66,15,2,4,0,0,0,0,1,11,0.67109,0.9104300000000001,1.139,1.5335,3,0
867949,2,1,63,12,4,7,39,15,6,8,0,0,0,0,5,7,0.95471,1.14871,1.2295,1.4805000000000001,3,0
867950,2,2,46,14,5,5,55,8,3,5,0,0,0,0,9,3,0.9251900000000001,0.6563300000000001,1.555,1.0875,1,1
867951,2,0,34,23,10,16,65,5,0,4,0,0,0,0,7,1,1.9837500000000001,0.46233,2.4259999999999997,0.444,3,0
867952,4,1,47,18,8,14,41,10,2,6,0,0,0,0,4,4,1.64056,0.80552,1.932,0.819,3,0
867953,0,1,45,8,4,7,49,15,6,11,0,1,0,1,1,4,0.77547,2.142954,0.5435,2.298,0,3
867954,1,2,33,17,5,13,51,15,4,10,0,0,0,0,4,5,1.53618,1.2678500000000001,1.581,1.215,0,3
867955,0,2,48,6,1,5,50,14,2,9,0,1,0,1,1,5,0.56671,1.979004,0.48949999999999994,2.302,0,3
867956,4,2,42,19,7,15,46,6,2,5,0,0,0,0,4,1,1.7449400000000002,0.56671,2.2159999999999997,0.593,3,0
867957,2,1,66,12,4,10,45,15,4,11,0,0,0,0,2,4,1.13342,1.32742,1.2205,1.4865000000000002,3,0
867958,4,0,55,13,7,7,33,15,4,7,0,0,0,0,6,8,0.99952,1.08914,1.332,1.413,3,0
